s_id,s_search,p_title,p_author,p_award,p_abstract,p_search
1088,MSR|| Business|| Spirituality,1|Relational Well-being and Wealth: Maori Businesses and an Ethic of Care,1|Chellie Spiller|AUT U.||2|Liljana Erakovic|U. of Auckland||3|Manuka Henare|U. of Auckland||4|Edwina Pio|AUT U.||,,"Care is at the heart of the Maori values system, and calls for humans to be kaitiaki, caretakers of the mauri, the life-force, in each other and in nature. The relational Five Well-beings approach that emerged from four in-depth case studies of Maori businesses, demonstrates how businesses can create spiritual, cultural, social, environmental, and economic well-being. A Well-beings approach entails praxis, which brings values and practice together with the purpose of consciously creating well-being, and in doing so, creates multi-dimensional wealth. The Well-beings approach is further illuminated by an ethic of care together with an intrinsic stakeholder view of business.",stakeholder| ethics| indigenous
1088,MSR|| Business|| Spirituality,2|Individual Spirit at Work and Its Outcomes: An Empirical Examination in Corporate Thailand,1|Passagorn Tevichapong|Aston U.||2|Ann J. Davis|Aston U.||3|Yves R. F. Guillaume|Aston U.||,,"The purpose of the present study was to conduct empirical research in corporate Thailand in order to (1) investigate the relationships between individual spirit at work and three employee work attitudinal variables (organisational identification, job satisfaction and psychological well-being) and three organisational outcomes (in-role performance, organisational citizenship behaviours (OCB), and turnover intentions) (2) further examine causal relations among these organisational behaviour variables with a longitudinal design (3) examine three employee work attitudes as mediator variables between individual spirit at work and three organisational outcomes and (4) explore the potential antecedents of organisational conditions that foster employee experienced individual spirit at work. The 715 completed questionnaires were received from the first wave of data collection during July 2008 and the second wave was conducted again within the same organisations and 501 completed questionnaires were received during April 2009. Data were obtained through 52 organisations which were from three types of organisations within Thailand: public organisations (N=237,185), for-profit organisations (N=244,155), and not-for-profit organisations (N=234,161). Confirmatory factor analysis of all measures used in the study and hypothesized model were tested with structural equation modeling techniques. Results were strongly supportive. In addition, although the model was invariant across rater of performance and OCB, there were differences across self report and supervisor rating. Additionally, the antecedents of organisational conditions that fostered employees experienced individual spirit at work and the implications of these findings for practice and research are discussed.",individual spirit at work| work attitudes and organisational outcomes| antecedents
1088,MSR|| Business|| Spirituality,3|Ubuntu and Ummah in IHRM,"1|David Thomas Weir|Liverpool Hope U.||2|Mzamo P Mangaliso|U. of Massachusetts, Amherst||3|Zengie A Mangaliso|Westfield State College||",,"We propose a re-orientation of focus away from the Western paradigms of organisation and enterprise that have dominated research in IHRM in favour of an approach based on a systematic comparison of core management cultures embedded in distinctive practices rooted in indigenous traditions of the developing world, seeking to enlarge the IHRM discourse by noting opportunities for mutual learning between the Western world, Southern Africa, and the largely Muslim countries of Northern Africa and the Middle East. We discuss Ubuntu as a central organizing concept in South Africa and its implications for management, then Wasta, Diwan and Ummah as organising principles of business in the Middle East and Islamic World, comparing them with prevailing Western models, and introduce some implications for human resource management practice and theory.",ummah| ubuntu| indigenous
1092,Job Satisfaction|| Commitment|| Professionals,1|True Perceptions of Healthcare Workers During Periods of Absenteeism in the Clinical Setting,1|Robert Jason Mullaney|Nova Southeastern U.||,1|HCM Best Paper Based on a Dissertation Nominee||,"Qualitative transcendental phenomenological methodology was used to identify the essence of healthcare workers perceptions at the workplace. Interviews were conducted on 25 physical therapists and therapist assistants spanning 214 years of clinical experience representing 11 clinical sites in South Florida. Eight major concerns were identified as influential factors that impact job performance, coworker and manager relationships, and patient care. Based on the essence derived from the therapists and assistants experiences, 14 functional propositions were posited and lay the foundation for future research. Managerial recommendations along with a functional model were offered to guide in the development of the recommended initiatives.",quality vs quantity| absenteeism| productivity
1092,Job Satisfaction|| Commitment|| Professionals,"2|Self Esteem as a Moderator Between Job Characteristics, Justice and Nurses'Organizational Commitment",1|Caroline Manville|IAE - U. of Toulouse I||,,"Work design and organizational justice theories have been largely universalistic in their prescriptions and it seems generally accepted that a work context in which individuals feel valued is necessarily that preferred by all employees and a determinant of their organizational commitment. Nevertheless, both empirical and theoretical elements have lead us to question both this idea and the effectiveness of staffing strategies based on this premise which are implemented in health care organizations. Specifically, the purpose of this study was to explore the moderating effect of individual dispositions on the relationships between nurses organisational commitment and work conditions which develop feelings of fairness and provide stimulating jobs. As expected, our results revealed that enriched jobs and fair supervisors have significant and positive effects on commitment for nurses with high self-esteem. When nurses have low self-esteem, lack confidence in their abilities and are unsure of their self-worth, they do no react positively these work conditions.",organizational commitment| nurses| work conditions
1092,Job Satisfaction|| Commitment|| Professionals,3|Emotional and Instrumental Organizational Family Support and Burnout: CSE as Moderator,"1|Peng Wang|Miami U. Ohio||2|Teresa A Wagner|Miami U. Ohio||3|Scott Boyar|U. of Alabama, Birmingham||4|Steven A. Corman|Case Western Reserve U.||5|Ronald McKinley|Texas Children's Hospital||",,"Using a sample of 438 hospital nurses, we examined relationships among emotional organizational family support, instrumental organizational family support, core self-evaluations (CSE), and burnout. Hierarchical regression analyses revealed that organizational family support (both emotional and instrumental support) and CSE each was negatively associated with burnout. We also found that CSE moderated emotional organizational family support  burnout relationship and instrumental organizational family support  burnout relationship, but with different patterns. Specifically, high-CSEs reported lower burnout than low-CSEs when organization provided more instrumental family support. Instead, low-CSEs experienced lower burnout than high-CSEs when more emotional organizational family support was provided. Implications for practice and theory are discussed.",organizational family support| core self-evaluation| burnout
1093,MSR|| Culture|| Diversity,1|The Assessment and Transformation of an Organizational Culture,1|Achilles A. Armenakis|Auburn U.||2|Steven C. Brown|Columbus State U.||3|Anju Mehta|Northern Iowa U.||,,"The assessment, development, and institutionalization of ethical organizational cultures pose a challenge to practitioners and academicians. This research describes the development and application of an Organizational Ethical Practices Audit (OEPA) in assessing a 102 year old family enterprises organizational culture. We collected data through interviews and categorized the data using Scheins (2004) cultural elements, i.e., artifacts, espoused beliefs and values, and underlying assumptions.  Furthermore, we describe how an ethical organizational culture was transformed and institutionalized at the family enterprise by adopting management practices based on Christian principles. This research demonstrates how CEOs and top management teams (TMT) can use OEPA as a tool to diagnose organizational cultures, and how a culture can be transformed.  Implications and directions for future research are also discussed.",organizational culture assessment| organizational culture transformation| christian culture
1093,MSR|| Culture|| Diversity,2|Stigma Theory and Religion in the Workplace,1|Stanley Bruce Thomson|St. George's U.||,1|William H. Newman Award Nominee||,"The amount of literature published on religion in the workplace and the judgmental and disruptive reactions created by others when confronted with religious belief in the workplace has been minimal.  Several authors have classified religious belief as a characteristic that opens an individual up to stigmatization. Thus the application stigma theory provides significant insights into the strategies used to manage ones own religious beliefs and the beliefs of others in the workplace. Avoidance was the most common method used by participants and religious belief guided participants in their choice of jobs, the organization and their decisions to leave. Further research needs to expand the use of stigma theory in the context of religion in the workplace in order to provide meaningful recommendations to increase the value of religious diversity training.",religion| stigma theory| diversity
1093,MSR|| Culture|| Diversity,"3|The Promise of Re-enchantment: Organizational Culture, Change and Spirituality at Work",1|Scott Taylor|U. of Exeter||2|Emma Bell|U. of Exeter||,,"The spirituality at work movement has achieved considerable popularity in the last decade amongst management scholars and practitioners through its promise as a means of changing organizations and individuals. Theoretical and empirical contributions suggest behavioural and attitudinal change will result from spiritual initiatives and organizational interventions. In this paper we explore the conceptual basis of this literature, drawing parallels with the culture change frameworks of the 1980s. These similarities underpin critical analyses that suggest spirituality at work is simply an extension of the colonization of the self that cultural interventions began, encroaching further into employee subjectivity. We challenge this by exploring the relationship between religion and culture drawing on anthropological and sociological frameworks, and argue that spiritually inspired change initiatives are distinctive in their promises to re-enchant work and organization. However this desire to reintroduce magic and mystery is a disenchanted re-enchantment, bounded by modernist rationality in which religion and spirituality remain equivalent or subordinate to other value systems. We conclude by noting the potential within spiritual and religious value systems to symbolise ideas that work within but against modernity, challenging or transcending the foundations of efficiency and calculability inherent to disenchanted organizational norms.",change| workplace spirituality| re-enchantment
1094,MSR|| Leadership|| Spirituality,"1|The Antecedents, Consequences, and Contingencies of Humility in Leadership: A Qualitative Approach",1|Bradley Paul Owens|U. of Michigan||2|Alex L. Rubenstein|U. of Florida||3|David R. Hekman|U. of Wisconsin Milwaukee||,,"Recent scholarly and practitioner attention toward the role of humility in organizational leadership has spurred calls to understand the how this virtue would play out in a leadership role.  In this paper, we report on a study that used a blended methods approach to examine humility within a leadership context. Drawing from a sample of leaders from a mortgage firm and using an interpretivist approach, this study assimilates insights from 30 semistructured interviews with leaders from four different hierarchical levels into a model representing the antecedents, consequences, and contingencies of humility in leadership. We discuss the enablers of developing and expressing humility in a leadership role. We report on contingencies which appear to determine the efficacy of humility in leadership.  Finally, we report some of the individual, team/unit, and organizational consequences of humility in leadership. We conclude with recommendations for future research.",leadership| qualitative| positive organizational scholarship
1094,MSR|| Leadership|| Spirituality,"2|Two Routes of Authentic Leadership to Hope, Turnover Intention, and OCB",1|Seong Hoon Park|Yonsei U.||2|Kiho Jun|Yonsei U.||3|Hun-Joon Park|Yonsei U.||4|Seongeun Lee|Yonsei U.||,,"Based on the theory of authentic leadership, this study examined the effects of authentic leadership behavior on employees!- attitudes or behaviors such as hope, turnover intention and organizational citizenship behavior (OCB), focusing on the mediating role of perceived supervisor support (PSS) and perceived organizational support (POS). Using data from 241 respondents in several business organizations, we found that there are two routes of authentic leadership to followers: PSS and POS. Results suggest that authentic leadership has positive relationships with followers!- hope, turnover intention and OCB. Secondly, drawing from social exchange theory, this study investigated the mediating role of PSS and POS, showing PSS mediation between authentic leadership and followers!- hope. Moreover, POS mediated between authentic leadership, and followers!- turnover intention and OCB. Managerial implications and future research directions are discussed.",authentic leadership| perceived organizational support| organizational citizenship behavior
1094,MSR|| Leadership|| Spirituality,3|When Leaders Who are Religious Encounter Religious Difference: A Mixed Methods Examination,1|Kelly A. Phipps|U. of Nebraska-Lincoln||2|Gina S. Matkin|U. of Nebraska-Lincoln||,,"This study explored how leaders who are religious experience openness to religious diversity. The Intercultural Development Inventory (IDI) was used to select participants capable of recognizing and appreciating cultural differences generally. From that population a sample of leaders who described themselves as religious was chosen for semi-structured interviews. Analysis of these interviews revealed four distinct expressions of openness to religious difference. These approaches were described as, true for me, in tension, respectful dialogue, and no corner on truth. Further analysis of these perspectives suggests they represent four directions whereby leaders express an openness to religious difference. These directions are: adopting a belief in relative truth, embracing a worldview that says they do not have a corner on truth, committing to a practice of respectful dialogue, and holding competing beliefs in tension.",leadership| religion| diversity
