_id,ltable_a_id,rtable_person_id,ltable_a_name,ltable_a_country,ltable_a_city,ltable_a_prov,ltable_a_web,rtable_a_name,rtable_a_country,rtable_a_city,rtable_a_prov,rtable_a_email_server,gold_label
4,10,17806,aalto university,finland,espoo,,http://www.aalto.fi/fi/,aalto university,finland,espoo,,aalto.fi,1
29,21864,57157,university applied sciences zurcher fachhochschule,switzerland,zurich,,http://www.zfh.ch,zurich university applied sciences,switzerland,winterthur,,zhaw.ch,0
66,11593,55585,metropolitan state university,united states,saint paul,minnesota,http://www.metrostate.edu,metropolitan state university,united states,minneapolis,minnesota,metrostate.edu,1
72,11629,34962,miami university,united states,oxford,ohio,http://www.muohio.edu,miami university,united states,oxford,ohio,muohio.edu,1
103,11634,45419,michigan state university,united states,east lansing,michigan,http://www.msu.edu,university michigan,united states,ann arbor,michigan,umich.edu,0
106,11634,42622,michigan state university,united states,east lansing,michigan,http://www.msu.edu,michigan state university,united states,east lansing,michigan,msu.edu,1
107,11634,14101,michigan state university,united states,east lansing,michigan,http://www.msu.edu,michigan state university,united states,east lansing,michigan,msu.edu,1
150,11635,57783,michigan state university michigan state university detroit college law,united states,east lansing,michigan,http://www.law.msu.edu,university michigan,united states,ann arbor,michigan,umich.edu,0
170,11636,45419,michigan technological university,united states,houghton,michigan,http://www.mtu.edu,university michigan,united states,ann arbor,michigan,umich.edu,0
232,22101,58868,university chinese academy sciences,china,beijing,,http://www.ucas.ac.cn,chinese research academy environmental science,china,beijing,,craes.org.cn,0
242,11930,56263,minnesota state university moorhead,united states,moorhead,minnesota,http://www.mnstate.edu,university minnesota,united states,minneapolis,minnesota,umn.edu,0
264,11930,7265,minnesota state university moorhead,united states,moorhead,minnesota,http://www.mnstate.edu,university minnesota,united states,minneapolis,minnesota,umn.edu,0
268,16252,41276,hamburg university technology,germany,hamburg,,http://www.tu-harburg.de,university hamburg,germany,hamburg,,uni-hamburg.de,0
281,11955,26014,mississippi valley state university,united states,itta bena,mississippi,http://www.mvsu.edu,mississippi state university,united states,mississippi state,mississippi,business.msstate.edu,0
294,22193,40079,new south wales institute psychiatry,australia,parramatta bc,new south wales,http://www.nswiop.nsw.edu.au/,university new south wales,australia,sydney,nsw,unsw.edu.au,0
314,22211,42229,saint petersburg state university economics,russian federation,sankt peterburg,,http://www.unecon.ru/,state university higher school economics,russian federation,moscow,russia,yahoo.com,0
322,22224,54289,indian institute forest management,india,bhopal,madhya pradesh,http://www.iifm.ac.in/,indian institute management kozhikode,india,kozhikode,kerala,gmail.com,0
331,22224,57514,indian institute forest management,india,bhopal,madhya pradesh,http://www.iifm.ac.in/,indian institute management ahmedabad,india,ahmedabad,gujarat,iimahd.ernet,0
341,12023,48626,monash university,australia,melbourne,victoria,http://www.monash.edu.au,monash university,australia,melbourne,victoria,monash.edu,1
367,22339,30578,korea soongsil cyber university,south korea,seoul,,http://kcu.ac/,korea university,south korea,seoul,,korea.ac.kr,0
404,22863,10131,california state university,united states,long beach,california,http://www.calstate.edu,california state university san marcos,united states,san marcos,california,csusm.edu,0
423,22882,59354,louisiana state university alexandria,united states,alexandria,louisiana,http://www.lsua.edu/,louisiana state university,united states,baton rouge,louisiana,lsu.edu,0
453,22928,33496,national university ireland institute public administration,ireland,dublin,,http://www.ipa.ie/,national university ireland maynooth,ireland,maynooth,,nuim.ie,0
498,23091,30496,lille 1 university national graduate school engineering chemistry lille,france,villeneuve d ascq,cedex,http://www.ensc-lille.fr/,university lille 1,france,lille,,iae.univ-lille1.fr,1
512,981,58460,anhui science technology university,china,fengyang,anhui province,http://www.ahstu.edu.cn/,university science and technology liaoning,china,anshan,liaoning,163.com,0
577,12353,44016,nanjing university posts telecommunications,china,nanjing,jiangsu province,http://www.njupt.edu.cn,nanjing university,china,nanjing,jiangsu,sina.com,0
