_id,ltable_a_id,rtable_person_id,ltable_a_name,ltable_a_city,ltable_a_prov,ltable_a_country,ltable_a_web,rtable_a_name,rtable_a_city,rtable_a_prov,rtable_a_country,rtable_a_email_server
0,9,54203,aalborg university,aalborg,,denmark,http://www.aau.dk,aalborg university,aalborg,,denmark,aau
1,9,54111,aalborg university,aalborg,,denmark,http://www.aau.dk,aalborg university,branbrand,,denmark,u-k
2,10,9489,aalto university,espoo,,finland,http://www.aalto.fi/fi/,aalto university,helsinki,,finland,aalto
3,10,6105,aalto university,espoo,,finland,http://www.aalto.fi/fi/,aalto university,espoo,,finland,aalto
4,10,52765,aalto university,espoo,,finland,http://www.aalto.fi/fi/,aalto university,espoo,finland,finland,aalto
5,10,50927,aalto university,espoo,,finland,http://www.aalto.fi/fi/,aalto university,helsinki,,finland,aalto
6,10,38224,aalto university,espoo,,finland,http://www.aalto.fi/fi/,aalto university,espoo,,finland,aalto
7,10,58343,aalto university,espoo,,finland,http://www.aalto.fi/fi/,aalto university,helsinki,,finland,aalto
8,10,47260,aalto university,espoo,,finland,http://www.aalto.fi/fi/,aalto university,helsinki,,finland,aalto
9,10,44615,aalto university,espoo,,finland,http://www.aalto.fi/fi/,aalto university,helsinki,,finland,aalto
10,10,56107,aalto university,espoo,,finland,http://www.aalto.fi/fi/,aalto university,aalto,,finland,tkk
11,10,60032,aalto university,espoo,,finland,http://www.aalto.fi/fi/,aalto university,0,,finland,aalto
12,10,54397,aalto university,espoo,,finland,http://www.aalto.fi/fi/,aalto university,helsinki,helsinki,finland,aalto
13,10,22207,aalto university,espoo,,finland,http://www.aalto.fi/fi/,aalto university,helsinki,,finland,hanken
14,10,36067,aalto university,espoo,,finland,http://www.aalto.fi/fi/,aalto university,helsinki,,finland,aalto
15,10,36779,aalto university,espoo,,finland,http://www.aalto.fi/fi/,aalto university,espoo,,finland,aalto
16,10,58872,aalto university,espoo,,finland,http://www.aalto.fi/fi/,aalto university,helsinki,,finland,aalto
17,15,58875,aarhus university,aarhus,C,denmark,http://www.au.dk/en,aarhus university,aarhus,,denmark,au
18,15,58047,aarhus university,aarhus,C,denmark,http://www.au.dk/en,aarhus university,aarhus,,denmark,au
19,15,19726,aarhus university,aarhus,C,denmark,http://www.au.dk/en,aarhus university,aarhus,,denmark,asb
20,15,57268,aarhus university,aarhus,C,denmark,http://www.au.dk/en,aarhus university,aarhus,,denmark,gmail
21,15,28818,aarhus university,aarhus,C,denmark,http://www.au.dk/en,aarhus university,aarhus,denmark,denmark,asb
22,15,50592,aarhus university,aarhus,C,denmark,http://www.au.dk/en,aarhus university,aarhus,,denmark,au
23,15,57262,aarhus university,aarhus,C,denmark,http://www.au.dk/en,aarhus university,aarhus,,denmark,asb
24,15,52558,aarhus university,aarhus,C,denmark,http://www.au.dk/en,aarhus university,aarhus,,denmark,asb
25,15,31003,aarhus university,aarhus,C,denmark,http://www.au.dk/en,aarhus university,aarhus,aarhus v,denmark,au
26,15,27828,aarhus university,aarhus,C,denmark,http://www.au.dk/en,aarhus university,aarhus,aarhus c,denmark,asb
27,15,2773,aarhus university,aarhus,C,denmark,http://www.au.dk/en,aarhus university,aarhus,,denmark,asb
28,76,9779,acadia university,wolfville, Nova Scotia ,canada,http://www.acadiau.ca,acadia university,wolfville,ns,canada,acadiau
29,223,44263,ajou university,suwon si,Gyeonggi-do,south korea,http://www.ajou.ac.kr,ajou university,suwon,,south korea,gmail
30,641,56372,kozminski university warsaw,warszawa,mazowieckie,poland,http://www.kozminski.edu.pl,kozminski university,warsaw,,poland,pl
31,802,57777,alanus university arts social sciences,alfter bei bonn,,germany,http://www.alanus.edu,alanus university,alfter,nrw,germany,alanus
32,838,8588,dublin city university all hallows college,dublin,,ireland,http://www.allhallows.ie,university college dublin,dublin,,ireland,ucd
33,838,40240,dublin city university all hallows college,dublin,,ireland,http://www.allhallows.ie,dublin city university,dublin,,ireland,dcu
34,838,38276,dublin city university all hallows college,dublin,,ireland,http://www.allhallows.ie,university college dublin,dublin,,ireland,ucd
35,838,4990,dublin city university all hallows college,dublin,,ireland,http://www.allhallows.ie,university college dublin,blackrock,dublin,ireland,ucd
36,838,1065,dublin city university all hallows college,dublin,,ireland,http://www.allhallows.ie,university college dublin,dublin,,ireland,ucd
37,867,55702,klagenfurt university,klagenfurt,Carinthia,austria,http://www.uni-klu.ac.at,alpen adria university klagenfurt austria,klagenfurt,carinthia,austria,aau
38,917,26479,american university beirut,beirut,,lebanon,http://www.aub.edu.lb,american university beirut,beirut,beirut,lebanon,aub
39,917,39453,american university beirut,beirut,,lebanon,http://www.aub.edu.lb,american university beirut,beirut,,lebanon,aub
40,917,18483,american university beirut,beirut,,lebanon,http://www.aub.edu.lb,american university beirut,beirut,,lebanon,aub
