a_id,a_id,a_name,a_country,a_city,a_prov,a_web
0,2,pampanga state agricultural university,philippines,magalang,pampanga,http://www.pac.edu.ph
1,4,les roches international school hotel management,switzerland,bluche crans montana,bluche-crans-montana,http://www.lesroches.edu
3,7,a d patel institute technology,india,vitthal udyognagar,gujarat,http://www.adit.ac.in
4,8,a t still university,united states,kirksville,missouri,http://www.atsu.edu
5,9,aalborg university,denmark,aalborg,,http://www.aau.dk
6,10,aalto university,finland,espoo,,http://www.aalto.fi/fi/
7,15,aarhus university,denmark,aarhus,c,http://www.au.dk/en
8,17,abada college,philippines,pinamalayan,oriental mindoro,http://abadacollege.edu.ph
10,19,abasyn university,pakistan,peshawar,khyber pakhtunkhwa,http://www.abasyn.edu.pk/
11,20,abdul wali khan university,pakistan,mardan,khyber pakhtunkhwa,http://www.awkum.edu.pk/
12,22,abe international business college,philippines,manila,metro manila,http://www.abe.edu.ph/
13,23,aberystwyth university,united kingdom,aberystwyth,,http://www.aber.ac.uk
14,24,abeu university centre,brazil,belford roxo,rio de janeiro,http://www.uniabeu.edu.br
15,25,abia state university,nigeria,uturu,abia state,http://www.absuu.net/
16,26,abilene christian university,united states,abilene,texas,http://www.acu.edu
17,27,abo akademi university,finland,turku,,http://www.abo.fi
18,28,abra state institute sciences technology,philippines,lagangilang,abra,http://www.asist.edu.ph
20,30,abraham baldwin agricultural college,united states,tifton,georgia,http://www.abac.peachnet.edu
21,31,abu dhabi university,united arab emirates,abu dhabi,,http://www.adu.ac.ae/
22,32,abubakar computer learning center foundation,philippines,bongao,tawi-tawi,
23,33,abubakar tafawa balewa university,nigeria,bauchi,bauchi state,http://www.atbu.edu.ng
24,34,kazakh abylai khan university international relations world languages,kazakhstan,almaty,,http://www.ablaikhan.kz
25,35,academy police sciences,mozambique,michafutene,maputo,http://www.acipol.ac.mz
26,36,gheorghe dima music academy cluj napoca,romania,cluj napoca,,http://www.amgd.ro
27,37,academy music atre fine arts,moldova,chisinau,,http://www.amtap.md
28,38,alexandru ioan cuza police academy bucharest,romania,bucuresti,,http://www.academiadepolitie.ro
30,40,san lorenzo dema ala academy,philippines,san jose del monte,bulacan,
32,42,bucharest academy economic studies,romania,bucuresti,,http://www.ase.ro
33,43,transports informatics communications academy,moldova,chisinau,,http://www.aticmd.md
35,46,mexican academy fiscal research,mexico,mexico,d.f.,
37,49,michael brave national academy information,romania,bucuresti,,http://www.animv.ro
39,51,academy graduate studies,libya,tripoli,,http://www.alacademia.edu.ly/
41,54,sudan academy communication science,sudan,khartoum,,http://www.sacs.edu.sd/
42,55,sudan academy banking financial sciences,sudan,khartoum,,http://www.sabfs.edu.sd
43,60,academy fine arts,congo,kinshasa,,
44,61,fine arts academy tournai,belgium,tournai,,http://www.actournai.be
48,65,academie royale des beaux arts de la ville de bruxelles ecole superieure des arts,belgium,bruxelles,,http://www.arba-esa.be
50,71,academy chinese culture health sciences,united states,oakland,california,http://www.acchs.edu
51,72,academy management,mongolia,ulaanbaatar,,http://www.naog.gov.mn/
52,73,academy oriental medicine austin,united states,austin,texas,http://www.aoma.edu
54,76,acadia university,canada,wolfville,nova scotia,http://www.acadiau.ca
55,77,brera academy fine art,italy,milano,lombardia,http://www.accademiadibrera.milano.it/
56,78,accadis university applied sciences bad homburg,germany,bad homburg,hesse,http://www.accadis.com
57,79,access computer technical college,philippines,manila,metro manila,http://access.edu.ph
58,80,accra institute technology,ghana,accra north,,http://www.ait.edu.gh
59,88,aces tagum college,philippines,tagum city,davao del norte,
61,90,acharya nagarjuna university,india,nagarjuna nagar,andhra pradesh,http://www.nagarjunauniversity.ac.in
63,93,acibadem university,turkey,maltepe/istanbul,,http://www.acibadem.edu.tr/
64,94,aclc college butuan city,philippines,butuan city,agusan del norte,http://www.aclc.edu.ph/aclc
65,95,acmcl college,philippines,victoria,oriental mindoro,http://acmclcollege.com
66,96,acsi business computer school,philippines,iloilo city,iloilo,
67,97,acts computer college,philippines,sta. cruz,laguna,
68,98,acupuncture integrative medicine college berkeley,united states,berkeley,california,http://aimc.edu
