person_id,person_id,a_name,a_city,a_prov,a_country,a_email_server,a_email_server_cleaned
6210,46879,university maryland,college park,maryland,united states,gmail.com,gmail
7241,53726,tulane,new orleans,louisiana,united states,tulane.edu,tulane
6383,47937,university zurich,zurich,switzerland,switzerland,uzh.ch,uzh
1656,7807,university texas pan american,mcallen,texas,united states,utpa.edu,utpa
4947,37439,boston university,boston,massachusetts,united states,bu.edu,bu
3002,19400,columbia university,new york,new york,united states,columbia.edu,columbia
1835,9029,new york university,new york,new york,united states,stern.nyu.edu,nyu
740,3350,university georgia,athens,georgia,united states,uga.edu,uga
9377,59595,rutgers business school,newark,new jersey,united states,business.rutgers.edu,rutgers
1974,9994,university southern california,los angeles,california,united states,marshall.usc.edu,usc
8156,57144,university nottingham ningbo china,ningbo,zhejiang,china,hotmail.com,hotmail
6614,49540,hong kong university science and technology,hong kong,,hong kong,ust.hk,ust
8698,58180,aachen university technology rwth,koeln,,germany,win.rwth-aachen.de,rwth-aachen
7187,53416,aalto university,aalto,,finland,aaltoee.fi,aaltoee
697,3112,esade,barcelona,barcelona,spain,esade.edu,esade
8685,58143,queen mary university london,london,,united kingdom,qmul.ac.uk,qmul
7467,55427,groupe esc troyes,troyes,,france,get-mail.fr,get-mail
8126,57095,queensland university technology,brisbane,qld,australia,qut.edu.au,qut
6919,51904,university lusiada de lisboa,lisboa,,portugal,lis.ulusiada.pt,ulusiada
8890,58633,university liverpool,liverpool,,united kingdom,liverpool.ac.uk,liverpool
7862,56579,indiana university purdue university indianapolis,indianapolis,indiana,united states,iupui.edu,iupui
1326,6082,texas tech university,lubbock,texas,united states,ttu.edu,ttu
6155,46536,university mississippi,marion,arkansas,united states,bus.olemiss.edu,olemiss
964,4505,central washington university,ellensburg,washington,united states,gmail.com,gmail
8850,58534,yale university,new haven,connecticut,united states,yale.edu,yale
9398,59638,columbia business school,new york,new york,united states,gsb.columbia.edu,columbia
9387,59612,columbia business school,new york,new york,united states,columbia.edu,columbia
1819,8938,bocconi university,milano,,italy,unibocconi.it,unibocconi
4107,29680,american university cairo,cairo,egypt,egypt,aucegypt.edu,aucegypt
3612,25190,university pantheon assas paris ii,paris,,france,gmail.com,gmail
3087,19865,frostburg state university,cumberland,maryland,united states,frostburg.edu,frostburg
5392,40741,open university nederland,heerlen,limburg,netherlands,ou.nl,ou
7106,52898,kuehne logistics university,hamburg,,germany,the-klu.org,the-klu
647,2852,brigham young university,provo,utah,united states,byu.edu,byu
408,1731,university alberta,edmonton,alberta,canada,ualberta.ca,ualberta
5770,43466,technical university munich,muenchen,,germany,tum.de,tum
7788,56414,telfer school management university ottawa,ottawa,on,canada,telfer.uottawa.ca,uottawa
7717,56243,ben gurion university,beersheba,,israel,som.bgu.ac.il,bgu
9304,59443,ben jerrys homemade inc,south burlington,vermont,united states,benjerry.com,benjerry
518,2242,,chattanooga,tennessee,united states,utc.edu,utc
706,3157,new mexico state university,las cruces,new mexico,united states,nmsu.edu,nmsu
108,487,babson college,babson park,massachusetts,united states,babson.edu,babson
866,4028,fordham university,new york,new york,united states,fordham.edu,fordham
3561,24840,unitec new zealand,auckland,,new zealand,unitec.ac.nz,unitec
3130,20185,university strathclyde,glasgow,,united kingdom,strath.ac.uk,strath
5159,39025,cranfield university,bedfordshire,,united kingdom,cranfield.ac.uk,cranfield
914,4258,interdisciplinary center,herzliya,,israel,idc.ac.il,idc
2243,12486,washington and lee university,lexington,virginia,united states,wlu.edu,wlu
7895,56646,lmu munich,munich,,germany,bwl.lmu.de,lmu
6265,47199,second university naples,capua,caserta,italy,gmail.com,gmail
3421,23537,brigham young university,provo,utah,united states,byu.edu,byu
4060,29298,montclair state university,montclair,new jersey,united states,mail.montclair.edu,montclair
8705,58193,yale university,new haven,connecticut,united states,gmail.com,gmail
7353,54506,state university new york college old westbury,old westbury,new york,united states,oldwestbury.edu,oldwestbury
6517,48787,cbs,frederiksberg,copenhagen,denmark,cbs.dk,cbs
446,1943,wu vienna,vienna,,austria,wu.ac.at,wu
8927,58707,zhejiang university,hangzhou,,china,zju.edu.cn,zju
1108,5146,rutgers university,piscataway,new jersey,united states,smlr.rutgers.edu,rutgers
386,1636,northwestern kellogg school management,evanston,illinois,united states,kellogg.northwestern.edu,northwestern
6528,48892,university economics katowice,katowice,,poland,ue.katowice.pl,katowice
7347,54470,aalto university,helsinki,,finland,aalto.fi,aalto
2211,12173,erasmus university rotterdam,rotterdam,,netherlands,rsm.nl,rsm
2827,17393,chang jung christian university,tainan,,taiwan,mail.cjcu.edu.tw,cjcu
4734,35241,university massachusetts amherst,amherst,massachusetts,united states,isenberg.umass.edu,umass
9296,59430,otto williams limited consulting,annapolis,maryland,united states,gmail.com,gmail
2837,17517,stanford university,stanford,california,united states,gsb.stanford.edu,stanford
4015,28968,ivey school business,london,on,canada,ivey.ca,ivey
736,3337,iona college,new rochelle,new york,united states,iona.edu,iona
2611,15027,rmit university,melbourne,vic,australia,rmit.edu.au,rmit
7132,53074,friedrich alexander university erlangen nuremberg,zurich,,switzerland,mckinsey.com,mckinsey
9448,59842,university utara malaysia,sintok,kedah,malaysia,uum.edu.my,uum
4566,33731,swiss federal institute technology zurich eth,zurich,,switzerland,ethz.ch,ethz
6313,47505,case western reserve university,tampa,florida,united states,gmail.com,gmail
4854,36448,university calgary,calgary,alberta,canada,ucalgary.ca,ucalgary
2514,14498,rutgers university,piscataway,new jersey,united states,smlr.rutgers.edu,rutgers
5232,39540,isc paris business school,paris,,france,iscparis.com,iscparis
7578,55862,university cagliari,cagliari,italy,italy,unica.it,unica
3690,25858,iese business school,barcelona,,spain,iese.edu,iese
5913,44447,indiana university,bloomington,indiana,united states,indiana.edu,indiana
395,1687,university arkansas,fayetteville,arkansas,united states,uark.edu,uark
9489,59993,leicester university,leicester,,united kingdom,le.ac.uk,le
6553,49048,groningen university rug,groningen,,netherlands,rug.nl,rug
4914,37306,cems,tecklenburg,,germany,cems.org,cems
6462,48381,university houston,kingwood,texas,united states,yahoo.com,yahoo
4820,36026,university leeds,leeds,,united kingdom,leeds.ac.uk,leeds
2572,14854,southern university,baton rouge,louisiana,united states,cox.net,cox
6159,46558,university ljubljana,ljubljana,,slovenia,gmail.com,gmail
6809,51277,em strasbourg business school,strasbourg,,france,gmail.com,gmail
2150,11711,drexel university,philadelphia,pennsylvania,united states,drexel.edu,drexel
628,2760,,toronto,on,canada,gmail.com,gmail
