_id,ltable_a_id,rtable_person_id,ltable_a_name,ltable_a_city,ltable_a_prov,ltable_a_country,ltable_a_web,rtable_a_name,rtable_a_city,rtable_a_prov,rtable_a_country,rtable_a_email_server
70,26,6378,abilene christian university,abilene,texas,united states,http://www.acu.edu,abilene christian university,abilene,texas,united states,acu.edu
71,26,33444,abilene christian university,abilene,texas,united states,http://www.acu.edu,abilene christian university,abilene,texas,united states,coba.acu.edu
84,110,4676,adelphi university,garden city,new york,united states,http://www.adelphi.edu,adelphi university,garden city,new york,united states,adelphi.edu
85,110,8429,adelphi university,garden city,new york,united states,http://www.adelphi.edu,adelphi university,forest hills,new york,united states,adelphi.edu
86,116,56267,adler school professional psychology,chicago,illinois,united states,http://www.adler.edu,chicago school professional psychology,chicago,illinois,united states,ego.thechicagoschool.edu
179,816,1493,albright college,reading,pennsylvania,united states,http://www.albright.edu,albright college,reading,pennsylvania,united states,alb.edu
180,829,51231,alfred university,alfred,new york,united states,http://www.alfred.edu,alfred university,alfred,new york,united states,gmail.com
189,913,4379,american university,washington,district of columbia,united states,http://www.american.edu,american university,washington,district of columbia,united states,american.edu
190,913,10149,american university,washington,district of columbia,united states,http://www.american.edu,american university,washington,district of columbia,united states,american.edu
191,913,757,american university,washington,district of columbia,united states,http://www.american.edu,american university,washington,district of columbia,united states,american.edu
192,913,940,american university,washington,district of columbia,united states,http://www.american.edu,american university,washington,district of columbia,united states,american.edu
193,913,7307,american university,washington,district of columbia,united states,http://www.american.edu,american university,washington,district of columbia,united states,american.edu
195,913,25611,american university,washington,district of columbia,united states,http://www.american.edu,american university,washington,district of columbia,united states,american.edu
196,913,52251,american university,washington,district of columbia,united states,http://www.american.edu,american university,washington,district of columbia,united states,gmail.com
198,913,2585,american university,washington,district of columbia,united states,http://www.american.edu,american university,washington,district of columbia,united states,american.edu
200,913,19265,american university,washington,district of columbia,united states,http://www.american.edu,american university,washington,district of columbia,united states,gmail.com
202,913,43428,american university,washington,district of columbia,united states,http://www.american.edu,american university,washington,district of columbia,united states,american.edu
207,952,34060,anderson university,anderson,south carolina,united states,http://www.andersonuniversity.edu,anderson university,seneca,south carolina,united states,gmail.com
208,952,58113,anderson university,anderson,south carolina,united states,http://www.andersonuniversity.edu,anderson university,anderson,south carolina,united states,andersonuniversity.edu
209,971,1073,angelo state university,san angelo,texas,united states,http://www.angelo.edu,angelo state university,san angelo,texas,united states,angelo.edu
275,1029,19663,appalachian state university,boone,north carolina,united states,http://www.appstate.edu,appalachian state university,boone,north carolina,united states,appstate.edu
276,1029,37697,appalachian state university,boone,north carolina,united states,http://www.appstate.edu,appalachian state university,boone,north carolina,united states,appstate.edu
277,1033,20425,aquinas college,grand rapids,michigan,united states,http://www.aquinas.edu,aquinas college,grand rapids,michigan,united states,aquinas.edu
281,1079,5367,arizona state university,tempe,arizona,united states,http://www.asu.edu,arizona state university,phoenix,arizona,united states,asu.edu
282,1079,55768,arizona state university,tempe,arizona,united states,http://www.asu.edu,arizona state university,phoenix,arizona,united states,asu.edu
283,1079,57766,arizona state university,tempe,arizona,united states,http://www.asu.edu,arizona state university,tempe,arizona,united states,asu.edu
284,1079,40973,arizona state university,tempe,arizona,united states,http://www.asu.edu,arizona state university,tempe,arizona,united states,asu.edu
285,1079,9594,arizona state university,tempe,arizona,united states,http://www.asu.edu,arizona state university,tempe,arizona,united states,asu.edu
286,1079,20375,arizona state university,tempe,arizona,united states,http://www.asu.edu,arizona state university,tempe,arizona,united states,asu.edu
288,1079,14794,arizona state university,tempe,arizona,united states,http://www.asu.edu,arizona state university,tempe,arizona,united states,asu.edu
289,1079,50893,arizona state university,tempe,arizona,united states,http://www.asu.edu,arizona state university,phoenix,arizona,united states,asu.edu
290,1079,969,arizona state university,tempe,arizona,united states,http://www.asu.edu,arizona state university,tempe,arizona,united states,asu.edu
291,1079,14244,arizona state university,tempe,arizona,united states,http://www.asu.edu,arizona state university,tempe,arizona,united states,asu.edu
293,1079,20116,arizona state university,tempe,arizona,united states,http://www.asu.edu,arizona state university,tempe,arizona,united states,asu.edu
294,1079,55676,arizona state university,tempe,arizona,united states,http://www.asu.edu,arizona state university,tempe,arizona,united states,asu.edu
295,1079,38979,arizona state university,tempe,arizona,united states,http://www.asu.edu,arizona state university,tempe,arizona,united states,asu.edu
296,1079,46143,arizona state university,tempe,arizona,united states,http://www.asu.edu,arizona state university,tempe,arizona,united states,asu.edu
297,1079,10933,arizona state university,tempe,arizona,united states,http://www.asu.edu,arizona state university,tempe,arizona,united states,asu.edu
298,1079,35710,arizona state university,tempe,arizona,united states,http://www.asu.edu,arizona state university,tempe,arizona,united states,asu.edu
304,1079,9254,arizona state university,tempe,arizona,united states,http://www.asu.edu,arizona state university,gold canyon,arizona,united states,asu.edu
305,1079,2535,arizona state university,tempe,arizona,united states,http://www.asu.edu,arizona state university,tempe,arizona,united states,asu.edu
308,1079,1089,arizona state university,tempe,arizona,united states,http://www.asu.edu,arizona state university,tempe,arizona,united states,asu.edu
311,1079,59582,arizona state university,tempe,arizona,united states,http://www.asu.edu,arizona state university,tempe,arizona,united states,asu.edu
312,1079,4952,arizona state university,tempe,arizona,united states,http://www.asu.edu,arizona state university,tempe,arizona,united states,asu.edu
313,1079,4329,arizona state university,tempe,arizona,united states,http://www.asu.edu,arizona state university,tempe,arizona,united states,asu.edu
314,1079,29535,arizona state university,tempe,arizona,united states,http://www.asu.edu,arizona state university,scottsdale,arizona,united states,asu.edu
317,1079,712,arizona state university,tempe,arizona,united states,http://www.asu.edu,arizona state university,tempe,arizona,united states,asu.edu
318,1079,5007,arizona state university,tempe,arizona,united states,http://www.asu.edu,arizona state university,tempe,arizona,united states,asu.edu
319,1079,54990,arizona state university,tempe,arizona,united states,http://www.asu.edu,arizona state university,tempe,arizona,united states,asu.edu
320,1079,29760,arizona state university,tempe,arizona,united states,http://www.asu.edu,arizona state university,tempe,arizona,united states,asu.edu
321,1079,55767,arizona state university,tempe,arizona,united states,http://www.asu.edu,arizona state university,tempe,arizona,united states,asu.edu
323,1079,55932,arizona state university,tempe,arizona,united states,http://www.asu.edu,arizona state university,tempe,arizona,united states,asu.edu
324,1079,59970,arizona state university,tempe,arizona,united states,http://www.asu.edu,arizona state university,phoenix,arizona,united states,asu.edu
325,1079,51228,arizona state university,tempe,arizona,united states,http://www.asu.edu,arizona state university,tempe,arizona,united states,asu.edu
326,1079,5074,arizona state university,tempe,arizona,united states,http://www.asu.edu,arizona state university,tempe,arizona,united states,asu.edu
329,1079,5801,arizona state university,tempe,arizona,united states,http://www.asu.edu,arizona state university,tempe,arizona,united states,asu.edu
330,1079,4956,arizona state university,tempe,arizona,united states,http://www.asu.edu,arizona state university,tempe,arizona,united states,asu.edu
331,1079,1496,arizona state university,tempe,arizona,united states,http://www.asu.edu,arizona state university,tempe,arizona,united states,asu.edu
332,1079,59176,arizona state university,tempe,arizona,united states,http://www.asu.edu,arizona state university,chandler,arizona,united states,asu.edu
333,1079,3137,arizona state university,tempe,arizona,united states,http://www.asu.edu,arizona state university,tempe,arizona,united states,asu.edu
334,1079,17768,arizona state university,tempe,arizona,united states,http://www.asu.edu,arizona state university,tempe,arizona,united states,asu.edu
335,1079,10225,arizona state university,tempe,arizona,united states,http://www.asu.edu,arizona state university,phoenix,arizona,united states,asu.edu
336,1079,24276,arizona state university,tempe,arizona,united states,http://www.asu.edu,arizona state university,phoenix,arizona,united states,asu.edu
339,1079,19515,arizona state university,tempe,arizona,united states,http://www.asu.edu,arizona state university,phoenix,arizona,united states,asu.edu
340,1079,4322,arizona state university,tempe,arizona,united states,http://www.asu.edu,arizona state university,tempe,arizona,united states,asu.edu
341,1079,1133,arizona state university,tempe,arizona,united states,http://www.asu.edu,arizona state university,tempe,arizona,united states,asu.edu
342,1079,7968,arizona state university,tempe,arizona,united states,http://www.asu.edu,arizona state university,tempe,arizona,united states,asu.edu
343,1079,54808,arizona state university,tempe,arizona,united states,http://www.asu.edu,arizona state university,tempe,arizona,united states,gmail.com
425,1273,8663,auburn university,auburn,alabama,united states,http://www.auburn.edu,auburn university,auburn,alabama,united states,auburn.edu
426,1273,55726,auburn university,auburn,alabama,united states,http://www.auburn.edu,auburn university,auburn,alabama,united states,auburn.edu
427,1273,47219,auburn university,auburn,alabama,united states,http://www.auburn.edu,auburn university,auburn,alabama,united states,auburn.edu
428,1273,9743,auburn university,auburn,alabama,united states,http://www.auburn.edu,auburn university,auburn,alabama,united states,auburn.edu
429,1273,13010,auburn university,auburn,alabama,united states,http://www.auburn.edu,auburn university,auburn,alabama,united states,auburn.edu
430,1273,963,auburn university,auburn,alabama,united states,http://www.auburn.edu,auburn university,auburn,alabama,united states,auburn.edu
431,1273,3042,auburn university,auburn,alabama,united states,http://www.auburn.edu,auburn university,auburn,alabama,united states,auburn.edu
432,1273,47132,auburn university,auburn,alabama,united states,http://www.auburn.edu,auburn university,auburn,alabama,united states,tigermail.auburn.edu
502,1355,229,babson college,babson park,massachusetts,united states,http://www.babson.edu,babson college,babson park,massachusetts,united states,babson.edu
503,1355,46124,babson college,babson park,massachusetts,united states,http://www.babson.edu,babson college,wellesley hills,massachusetts,united states,babson.edu
504,1355,46593,babson college,babson park,massachusetts,united states,http://www.babson.edu,babson college,babson park,massachusetts,united states,babson.edu
505,1355,20711,babson college,babson park,massachusetts,united states,http://www.babson.edu,babson college,babson park,massachusetts,united states,babson.edu
506,1355,9012,babson college,babson park,massachusetts,united states,http://www.babson.edu,babson college,babson park,massachusetts,united states,babson.edu
507,1355,6040,babson college,babson park,massachusetts,united states,http://www.babson.edu,babson college,wellesley,massachusetts,united states,babson.edu
508,1355,487,babson college,babson park,massachusetts,united states,http://www.babson.edu,babson college,babson park,massachusetts,united states,babson.edu
509,1355,37519,babson college,babson park,massachusetts,united states,http://www.babson.edu,babson college,boston,massachusetts,united states,babson.edu
510,1355,14402,babson college,babson park,massachusetts,united states,http://www.babson.edu,babson college,babson park,massachusetts,united states,babson.edu
511,1355,7573,babson college,babson park,massachusetts,united states,http://www.babson.edu,babson college,babson park,massachusetts,united states,babson.edu
512,1355,34111,babson college,babson park,massachusetts,united states,http://www.babson.edu,babson college,arlington,massachusetts,united states,babson.edu
513,1355,15691,babson college,babson park,massachusetts,united states,http://www.babson.edu,babson college,babson park,massachusetts,united states,babson.edu
515,1355,23669,babson college,babson park,massachusetts,united states,http://www.babson.edu,babson college,babson park,massachusetts,united states,babson.edu
516,1355,1418,babson college,babson park,massachusetts,united states,http://www.babson.edu,babson college,babson park,massachusetts,united states,babson.edu
517,1355,4180,babson college,babson park,massachusetts,united states,http://www.babson.edu,babson college,babson park,massachusetts,united states,babson.edu
522,1382,2753,baker college center graduate studies,flint,michigan,united states,http://www.baker.edu/baker-center-for-graduate-studies/,baker college,flint,michigan,united states,baker.edu
526,1387,2753,baker college flint,flint,michigan,united states,http://www.baker.edu/campus/flint/,baker college,flint,michigan,united states,baker.edu
529,1414,24988,ball state university,muncie,indiana,united states,http://www.bsu.edu,ball state university,muncie,indiana,united states,bsu.edu
530,1414,28926,ball state university,muncie,indiana,united states,http://www.bsu.edu,ball state university,muncie,indiana,united states,bsu.edu
531,1414,42204,ball state university,muncie,indiana,united states,http://www.bsu.edu,ball state university,muncie,indiana,united states,bsu.edu
532,1414,36914,ball state university,muncie,indiana,united states,http://www.bsu.edu,ball state university,muncie,indiana,united states,bsu.edu
579,1502,58829,baylor college medicine,houston,texas,united states,http://www.bcm.edu,baylor college medicine,houston,texas,united states,bcm.edu
592,1503,23832,baylor university,waco,texas,united states,http://www.baylor.edu,baylor university,waco,texas,united states,baylor.edu
593,1503,58035,baylor university,waco,texas,united states,http://www.baylor.edu,baylor university,waco,texas,united states,baylor.edu
594,1503,200,baylor university,waco,texas,united states,http://www.baylor.edu,baylor university,waco,texas,united states,Baylor.edu
595,1503,49291,baylor university,waco,texas,united states,http://www.baylor.edu,baylor university,waco,texas,united states,baylor.edu
596,1503,25149,baylor university,waco,texas,united states,http://www.baylor.edu,baylor university,waco,texas,united states,baylor.edu
598,1503,11859,baylor university,waco,texas,united states,http://www.baylor.edu,baylor university,lorena,texas,united states,baylor.edu
599,1503,1253,baylor university,waco,texas,united states,http://www.baylor.edu,baylor university,waco,texas,united states,baylor.edu
600,1503,19632,baylor university,waco,texas,united states,http://www.baylor.edu,baylor university,waco,texas,united states,baylor.edu
601,1503,42281,baylor university,waco,texas,united states,http://www.baylor.edu,baylor university,waco,texas,united states,baylor.edu
602,1503,21043,baylor university,waco,texas,united states,http://www.baylor.edu,baylor university,porter,texas,united states,uhd.edu
603,1503,22092,baylor university,waco,texas,united states,http://www.baylor.edu,baylor university,waco,texas,united states,baylor.edu
628,1572,6762,belmont university,nashville,tennessee,united states,http://www.belmont.edu,belmont university,nashville,tennessee,united states,belmont.edu
629,1572,23,belmont university,nashville,tennessee,united states,http://www.belmont.edu,belmont university,nashville,tennessee,united states,belmont.edu
637,1577,57285,bemidji state university,bemidji,minnesota,united states,http://www.bemidjistate.edu,bemidji state university,bemidji,minnesota,united states,bemidjistate.edu
638,1577,56445,bemidji state university,bemidji,minnesota,united states,http://www.bemidjistate.edu,bemidji state university,bemidji,minnesota,united states,bemidjistate.edu
644,1582,4458,benedictine university,lisle,illinois,united states,http://www.ben.edu,benedictine university,lisle,illinois,united states,ben.edu
645,1582,1435,benedictine university,lisle,illinois,united states,http://www.ben.edu,benedictine university,lisle,illinois,united states,ben.edu
646,1582,14355,benedictine university,lisle,illinois,united states,http://www.ben.edu,benedictine university,lisle,illinois,united states,ben.edu
647,1582,57060,benedictine university,lisle,illinois,united states,http://www.ben.edu,benedictine university,glencoe,illinois,united states,hotmail.com
648,1582,2649,benedictine university,lisle,illinois,united states,http://www.ben.edu,benedictine university,lisle,illinois,united states,ben.edu
649,1582,45884,benedictine university,lisle,illinois,united states,http://www.ben.edu,benedictine university,springfield,illinois,united states,comcast.net
650,1582,1950,benedictine university,lisle,illinois,united states,http://www.ben.edu,benedictine university,geneva,illinois,united states,ben.edu
651,1582,50397,benedictine university,lisle,illinois,united states,http://www.ben.edu,benedictine university,olympia fields,illinois,united states,comcast.net
652,1582,48151,benedictine university,lisle,illinois,united states,http://www.ben.edu,benedictine university,winfield,illinois,united states,aol.com
653,1582,8326,benedictine university,lisle,illinois,united states,http://www.ben.edu,benedictine university,arlington heights,illinois,united states,ben.edu
654,1597,51628,bennett college,greensboro,north carolina,united states,http://www.bennett.edu,bennett college,pittsboro,north carolina,united states,bennett.edu
655,1600,5730,bentley university,waltham,massachusetts,united states,http://www.bentley.edu,bentley university,belmont,massachusetts,united states,bentley.edu
656,1600,2926,bentley university,waltham,massachusetts,united states,http://www.bentley.edu,bentley college,waltham,massachusetts,united states,bentley.edu
657,1600,345,bentley university,waltham,massachusetts,united states,http://www.bentley.edu,bentley university,waltham,massachusetts,united states,bentley.edu
658,1600,27875,bentley university,waltham,massachusetts,united states,http://www.bentley.edu,bentley university,waltham,massachusetts,united states,bentley.edu
659,1600,14259,bentley university,waltham,massachusetts,united states,http://www.bentley.edu,bentley university,waltham,massachusetts,united states,bentley.edu
660,1600,20310,bentley university,waltham,massachusetts,united states,http://www.bentley.edu,bentley university,waltham,massachusetts,united states,bentley.edu
661,1600,8760,bentley university,waltham,massachusetts,united states,http://www.bentley.edu,bentley university,waltham,massachusetts,united states,bentley.edu
