person_id,a_name,a_city,a_prov,a_country,a_email_server,a_email_server_cleaned
1,academy management,briarcliff manor,new york,united states,aom.org,aom
4,northeastern university,boston,massachusetts,united states,gmail.com,gmail
5,skidmore college,saratoga springs,new york,united states,skidmore.edu,skidmore
10,west virginia university,morgantown,west virginia,united states,mail.wvu.edu,wvu
14,university antwerp,antwerp,,belgium,ua.ac.be,ua
16,concordia university,montreal,qc,canada,jmsb.concordia.ca,concordia
19,southern methodist university,dallas,texas,united states,cox.smu.edu,smu
21,san diego state university,san diego,california,united states,sdsu.edu,sdsu
22,alliant international university,san francisco,california,united states,alliant.edu,alliant
23,belmont university,nashville,tennessee,united states,belmont.edu,belmont
24,northern illinois university,dekalb,illinois,united states,niu.edu,niu
33,national taiwan university,taipei,,taiwan,ntu.edu.tw,ntu
35,harvard university,boston,massachusetts,united states,hbs.edu,hbs
50,insead,fontainebleau,,france,insead.edu,insead
74,yale university,hamden,connecticut,united states,gmail.com,gmail
87,illinois state university,bloomington,illinois,united states,ilstu.edu,ilstu
88,new mexico state university,las cruces,new mexico,united states,msn.com,msn
97,oakland university,rochester,michigan,united states,oakland.edu,oakland
108,monash university,caulfield,victoria,australia,monash.edu,monash
109,university wisconsin oshkosh,oshkosh,wisconsin,united states,uwosh.edu,uwosh
110,pace university,new york,new york,united states,pace.edu,pace
114,university queensland australia,brisbane,qld,australia,uq.edu.au,uq
124,insead,singapore,singapore,singapore,insead.edu,insead
128,university new haven,west haven,connecticut,united states,newhaven.edu,newhaven
130,harvard university,boston,massachusetts,united states,hbs.edu,hbs
132,university california los angeles,los angeles,california,united states,anderson.ucla.edu,ucla
133,duquesne university,pittsburgh,pennsylvania,united states,duq.edu,duq
151,university wisconsin madison,madison,wisconsin,united states,bus.wisc.edu,wisc
155,western new england university,springfield,massachusetts,united states,wne.edu,wne
156,teachers college columbia university,new york,new york,united states,columbia.edu,columbia
157,university western australia,crawley,washington,australia,uwa.edu.au,uwa
174,pennsylvania state university,malvern,pennsylvania,united states,psu.edu,psu
177,george mason university,fairfax,virginia,united states,gmu.edu,gmu
178,university missouri kansas city,kansas city,missouri,united states,umkc.edu,umkc
181,clark university,worcester,massachusetts,united states,clarku.edu,clarku
182,university kansas,lawrence,kansas,united states,ku.edu,ku
185,monash university,caulfield,victoria,australia,buseco.monash.edu.au,monash
192,university bath,bath,,united kingdom,bath.ac.uk,bath
198,utah state university,logan,utah,united states,gmail.com,gmail
200,baylor university,waco,texas,united states,Baylor.edu,Baylor
203,texas tech university,lubbock,texas,united states,ttu.edu,ttu
220,university memphis,memphis,tennessee,united states,memphis.edu,memphis
227,university denver,philadelphia,pennsylvania,united states,temple.edu,temple
229,babson college,babson park,massachusetts,united states,babson.edu,babson
230,university north carolina charlotte,charlotte,north carolina,united states,uncc.edu,uncc
232,wayne state university,detroit,michigan,united states,wayne.edu,wayne
233,michigan state university,east lansing,michigan,united states,msu.edu,msu
235,university montana,missoula,montana,united states,umontana.edu,umontana
236,wake forest university,winston salem,north carolina,united states,wfu.edu,wfu
239,university louisville,louisville,kentucky,united states,me.com,me
247,university dallas,irving,texas,united states,udallas.edu,udallas
249,university minnesota,minneapolis,minnesota,united states,umn.edu,umn
255,university cyprus / university warwick,nicosia,,cyprus,wbs.ac.uk,wbs
274,stanford university,stanford,california,united states,stanford.edu,stanford
290,university arkansas,fayetteville,arkansas,united states,walton.uark.edu,uark
291,city university hong kong / pacific rim institute for studies management,kowloon,hong kong,china,cityu.edu.hk,cityu
295,eth zurich,zurich,,switzerland,ethz.ch,ethz
296,pennsylvania state university,university park,pennsylvania,united states,psu.edu,psu
307,hong kong university science and technology,hong kong,,hong kong,ust.hk,ust
308,university missouri,columbia,missouri,united states,health.missouri.edu,missouri
310,hong kong university science and technology,kowloon,,hong kong,ust.hk,ust
311,university newcastle australia,newcastle,nsw,australia,newcastle.edu.au,newcastle
312,eindhoven university technology,eindhoven,,netherlands,tue.nl,tue
315,erasmus university rotterdam,rotterdam,,netherlands,rsm.nl,rsm
321,university pennsylvania,philadelphia,pennsylvania,united states,wharton.upenn.edu,upenn
322,keele university,keele,staffs,united kingdom,keele.ac.uk,keele
334,university minnesota,minneapolis,minnesota,united states,umn.edu,umn
341,ryerson university,toronto,on,canada,ryerson.ca,ryerson
343,insead,fontainebleau,,france,insead.edu,insead
345,bentley university,waltham,massachusetts,united states,bentley.edu,bentley
350,marquette university,shorewood,wisconsin,united states,marquette.edu,marquette
355,university western australia,crawley,washington,australia,uwa.edu.au,uwa
356,university alberta,edmonton,alberta,canada,ualberta.ca,ualberta
375,university british columbia,vancouver,bc,canada,sauder.ubc.ca,ubc
379,pennsylvania state university,lionville,pennsylvania,united states,psu.edu,psu
380,illinois state university,normal,illinois,united states,ilstu.edu,ilstu
382,michigan state university,east lansing,michigan,united states,bus.msu.edu,msu
396,pace university,new york,new york,united states,pace.edu,pace
398,university iowa,iowa city,iowa,united states,uiowa.edu,uiowa
399,university zu koeln,cologne,,germany,wiso.uni-koeln.de,uni-koeln
400,indiana university bloomington,bloomington,indiana,united states,indiana.edu,indiana
403,western connecticut state university,danbury,connecticut,united states,wcsu.edu,wcsu
407,university arkansas,fayetteville,arkansas,united states,walton.uark.edu,uark
408,santa clara university,santa clara,california,united states,scu.edu,scu
409,national university singapore,singapore,singapore,singapore,nus.edu.sg,nus
414,pennsylvania state university,university park,pennsylvania,united states,psu.edu,psu
417,insead,singapore,,singapore,insead.edu,insead
421,university pittsburgh,pittsburgh,pennsylvania,united states,pitt.edu,pitt
428,university new south wales,sydney,nsw,australia,unsw.edu.au,unsw
429,university utah,salt lake city,utah,united states,business.utah.edu,utah
433,university rhode island,kingston,rhode island,united states,gmail.com,gmail
437,university auckland,auckland,,new zealand,auckland.ac.nz,auckland
438,national sun yat sen university,pingtung,,taiwan,cm.nsysu.edu.tw,nsysu
444,university toronto,toronto,on,canada,rotman.utoronto.ca,utoronto
449,university miami,coral gables,florida,united states,miami.edu,miami
450,washington university st louis,st. louis,missouri,united states,wustl.edu,wustl
452,university virginia,charlottesville,virginia,united states,darden.virginia.edu,virginia
456,chinese university hong kong,shatin,,hong kong,cuhk.edu.hk,cuhk
458,ohio state university,columbus,ohio,united states,fisher.osu.edu,osu
466,syracuse university,syracuse,new york,united states,syr.edu,syr
473,brigham young university,provo,utah,united states,byu.edu,byu
474,azerbaijan diplomatic academy,washington,district of columbia,united states,gmail.com,gmail
475,schulich school business,toronto,on,canada,schulich.yorku.ca,yorku
476,boston college,weston,massachusetts,united states,bc.edu,bc
477,university colorado denver,denver,colorado,united states,ucdenver.edu,ucdenver
479,dartmouth college,cambridge,massachusetts,united states,dartmouth.edu,dartmouth
480,loyola marymount university,playa del rey,california,united states,lmu.edu,lmu
485,iese,madrid,,spain,iese.edu,iese
487,babson college,babson park,massachusetts,united states,babson.edu,babson
488,massachusetts institute technology,newtonville,massachusetts,united states,mit.edu,mit
491,indiana university,indianapolis,indiana,united states,indiana.edu,indiana
496,university washington tacoma,tacoma,washington,united states,uw.edu,uw
500,university pittsburgh,pittsburgh,pennsylvania,united states,katz.pitt.edu,pitt
501,georgia state university,atlanta,georgia,united states,gsu.edu,gsu
502,university notre dame,notre dame,indiana,united states,nd.edu,nd
510,lehigh university,bethlehem,pennsylvania,united states,lehigh.edu,lehigh
517,university minnesota duluth,duluth,minnesota,united states,d.umn.edu,umn
524,university utah,salt lake city,utah,united states,business.utah.edu,utah
525,cornell university,ithaca,new york,united states,cornell.edu,cornell
526,ohio state university,columbus,ohio,united states,osu.edu,osu
528,national science foundation,arlington,virginia,united states,nsf.gov,gov
529,ecole polytechnique federale de lausanne,lausanne,vd,switzerland,epfl.ch,epfl
536,clemson university,pendleton,south carolina,united states,clemson.edu,clemson
539,national university singapore,singapore,,singapore,nus.edu.sg,nus
546,university strathclyde,glasgow,scotland,united kingdom,strath.ac.uk,strath
549,california state university fresno,fresno,california,united states,csufresno.edu,csufresno
550,oakland university,rochester,michigan,united states,oakland.edu,oakland
