_id,ltable_a_id,rtable_person_id,ltable_a_name,ltable_a_country,ltable_a_city,ltable_a_prov,ltable_a_web,rtable_a_name,rtable_a_country,rtable_a_city,rtable_a_prov,rtable_a_email_server,gold_label,,,,,,,,,,,,
4,10,17806,aalto university,finland,espoo,,http://www.aalto.fi/fi/,aalto university,finland,espoo,,aalto.fi,1,8,TRUE,,,,,,,,,,
29,21864,57157,university applied sciences zurcher fachhochschule,switzerland,zurich,,http://www.zfh.ch,zurich university applied sciences,switzerland,winterthur,,zhaw.ch,0,0,FALSE,university applied sciences zurcher fachhochschule,zurich university applied sciences,switzerland,switzerland,zurich,winterthur,0,0,http://www.zfh.ch,zhaw.ch
66,11593,55585,metropolitan state university,united states,saint paul,minnesota,http://www.metrostate.edu,metropolitan state university,united states,minneapolis,minnesota,metrostate.edu,1,14,TRUE,,,,,,,,,,
72,11629,34962,miami university,united states,oxford,ohio,http://www.muohio.edu,miami university,united states,oxford,ohio,muohio.edu,1,10,TRUE,,,,,,,,,,
103,11634,45419,michigan state university,united states,east lansing,michigan,http://www.msu.edu,university michigan,united states,ann arbor,michigan,umich.edu,0,0,FALSE,michigan state university,university michigan,united states,united states,east lansing,ann arbor,michigan,michigan,http://www.msu.edu,umich.edu
106,11634,42622,michigan state university,united states,east lansing,michigan,http://www.msu.edu,michigan state university,united states,east lansing,michigan,msu.edu,1,7,TRUE,,,,,,,,,,
107,11634,14101,michigan state university,united states,east lansing,michigan,http://www.msu.edu,michigan state university,united states,east lansing,michigan,msu.edu,1,7,TRUE,,,,,,,,,,
150,11635,57783,michigan state university michigan state university detroit college law,united states,east lansing,michigan,http://www.law.msu.edu,university michigan,united states,ann arbor,michigan,umich.edu,0,0,FALSE,michigan state university michigan state university detroit college law,university michigan,united states,united states,east lansing,ann arbor,michigan,michigan,http://www.law.msu.edu,umich.edu
170,11636,45419,michigan technological university,united states,houghton,michigan,http://www.mtu.edu,university michigan,united states,ann arbor,michigan,umich.edu,0,0,FALSE,michigan technological university,university michigan,united states,united states,houghton,ann arbor,michigan,michigan,http://www.mtu.edu,umich.edu
232,22101,58868,university chinese academy sciences,china,beijing,,http://www.ucas.ac.cn,chinese research academy environmental science,china,beijing,,craes.org.cn,0,0,FALSE,university chinese academy sciences,chinese research academy environmental science,china,china,beijing,beijing,0,0,http://www.ucas.ac.cn,craes.org.cn
242,11930,56263,minnesota state university moorhead,united states,moorhead,minnesota,http://www.mnstate.edu,university minnesota,united states,minneapolis,minnesota,umn.edu,0,0,FALSE,minnesota state university moorhead,university minnesota,united states,united states,moorhead,minneapolis,minnesota,minnesota,http://www.mnstate.edu,umn.edu
264,11930,7265,minnesota state university moorhead,united states,moorhead,minnesota,http://www.mnstate.edu,university minnesota,united states,minneapolis,minnesota,umn.edu,0,0,FALSE,minnesota state university moorhead,university minnesota,united states,united states,moorhead,minneapolis,minnesota,minnesota,http://www.mnstate.edu,umn.edu
268,16252,41276,hamburg university technology,germany,hamburg,,http://www.tu-harburg.de,university hamburg,germany,hamburg,,uni-hamburg.de,0,0,FALSE,hamburg university technology,university hamburg,germany,germany,hamburg,hamburg,0,0,http://www.tu-harburg.de,uni-hamburg.de
281,11955,26014,mississippi valley state university,united states,itta bena,mississippi,http://www.mvsu.edu,mississippi state university,united states,mississippi state,mississippi,business.msstate.edu,0,0,FALSE,mississippi valley state university,mississippi state university,united states,united states,itta bena,mississippi state,mississippi,mississippi,http://www.mvsu.edu,business.msstate.edu
294,22193,40079,new south wales institute psychiatry,australia,parramatta bc,new south wales,http://www.nswiop.nsw.edu.au/,university new south wales,australia,sydney,nsw,unsw.edu.au,0,0,FALSE,new south wales institute psychiatry,university new south wales,australia,australia,parramatta bc,sydney,new south wales,nsw,http://www.nswiop.nsw.edu.au/,unsw.edu.au
314,22211,42229,saint petersburg state university economics,russian federation,sankt peterburg,,http://www.unecon.ru/,state university higher school economics,russian federation,moscow,russia,yahoo.com,0,0,FALSE,saint petersburg state university economics,state university higher school economics,russian federation,russian federation,sankt peterburg,moscow,0,russia,http://www.unecon.ru/,yahoo.com
322,22224,54289,indian institute forest management,india,bhopal,madhya pradesh,http://www.iifm.ac.in/,indian institute management kozhikode,india,kozhikode,kerala,gmail.com,0,0,FALSE,indian institute forest management,indian institute management kozhikode,india,india,bhopal,kozhikode,madhya pradesh,kerala,http://www.iifm.ac.in/,gmail.com
331,22224,57514,indian institute forest management,india,bhopal,madhya pradesh,http://www.iifm.ac.in/,indian institute management ahmedabad,india,ahmedabad,gujarat,iimahd.ernet,0,0,FALSE,indian institute forest management,indian institute management ahmedabad,india,india,bhopal,ahmedabad,madhya pradesh,gujarat,http://www.iifm.ac.in/,iimahd.ernet
341,12023,48626,monash university,australia,melbourne,victoria,http://www.monash.edu.au,monash university,australia,melbourne,victoria,monash.edu,1,10,TRUE,,,,,,,,,,
367,22339,30578,korea soongsil cyber university,south korea,seoul,,http://kcu.ac/,korea university,south korea,seoul,,korea.ac.kr,0,0,FALSE,korea soongsil cyber university,korea university,south korea,south korea,seoul,seoul,0,0,http://kcu.ac/,korea.ac.kr
404,22863,10131,california state university,united states,long beach,california,http://www.calstate.edu,california state university san marcos,united states,san marcos,california,csusm.edu,0,0,FALSE,california state university,california state university san marcos,united states,united states,long beach,san marcos,california,california,http://www.calstate.edu,csusm.edu
423,22882,59354,louisiana state university alexandria,united states,alexandria,louisiana,http://www.lsua.edu/,louisiana state university,united states,baton rouge,louisiana,lsu.edu,0,0,FALSE,louisiana state university alexandria,louisiana state university,united states,united states,alexandria,baton rouge,louisiana,louisiana,http://www.lsua.edu/,lsu.edu
453,22928,33496,national university ireland institute public administration,ireland,dublin,,http://www.ipa.ie/,national university ireland maynooth,ireland,maynooth,,nuim.ie,0,0,FALSE,national university ireland institute public administration,national university ireland maynooth,ireland,ireland,dublin,maynooth,0,0,http://www.ipa.ie/,nuim.ie
498,23091,30496,lille 1 university national graduate school engineering chemistry lille,france,villeneuve d ascq,cedex,http://www.ensc-lille.fr/,university lille 1,france,lille,,iae.univ-lille1.fr,0,0,FALSE,lille 1 university national graduate school engineering chemistry lille,university lille 1,france,france,villeneuve d ascq,lille,cedex,0,http://www.ensc-lille.fr/,iae.univ-lille1.fr
512,981,58460,anhui science technology university,china,fengyang,anhui province,http://www.ahstu.edu.cn/,university science and technology liaoning,china,anshan,liaoning,163.com,0,0,FALSE,anhui science technology university,university science and technology liaoning,china,china,fengyang,anshan,anhui province,liaoning,http://www.ahstu.edu.cn/,163.com
542,23126,4346,university minnesota rochester,united states,rochester,minnesota,http://r.umn.edu/,university minnesota,united states,minneapolis,minnesota,umn.edu,?,7,FALSE,university minnesota rochester,university minnesota,united states,united states,rochester,minneapolis,minnesota,minnesota,http://r.umn.edu/,umn.edu
577,12353,44016,nanjing university posts telecommunications,china,nanjing,jiangsu province,http://www.njupt.edu.cn,nanjing university,china,nanjing,jiangsu,sina.com,0,0,FALSE,nanjing university posts telecommunications,nanjing university,china,china,nanjing,nanjing,jiangsu province,jiangsu,http://www.njupt.edu.cn,sina.com
590,23182,59352,virginia tech carilion school medicine,united states,roanoke,virginia,http://www.vtc.vt.edu/,university virginia,united states,charlottesville,virginia,darden.virginia.edu,0,0,FALSE,virginia tech carilion school medicine,university virginia,united states,united states,roanoke,charlottesville,virginia,virginia,http://www.vtc.vt.edu/,darden.virginia.edu
610,12365,10008,nanyang technological university,singapore,singapore,,http://www.ntu.edu.sg,nanyang technological university,singapore,singapore,,ntu.edu.sg,1,10,TRUE,,,,,,,,,,
633,1079,40973,arizona state university,united states,tempe,arizona,http://www.asu.edu,arizona state university,united states,tempe,arizona,asu.edu,1,7,TRUE,,,,,,,,,,
655,12421,51434,national chung hsing university,taiwan,taichung,,http://www.nchu.edu.tw/,national chung hsing university,taiwan,taichung,,amber.com.tw,1,0,TRUE,,,,,,,,,,
660,12444,26040,national dong hwa university,taiwan,hualien,,http://www.ndhu.edu.tw,national dong hwa university,taiwan,hualien,taiwan,mail.ndhu.edu.tw,1,0,TRUE,,,,,,,,,,
688,12497,57483,national pingtung university education,taiwan,pingtung,,http://www.npue.edu.tw,national changhua university education,taiwan,changhua,,cc.ncue.edu.tw,0,0,FALSE,national pingtung university education,national changhua university education,taiwan,taiwan,pingtung,changhua,0,0,http://www.npue.edu.tw,cc.ncue.edu.tw
691,1246,51950,atal birahi vajpayee indian institute information technology management,india,gwalior,madhya pradesh,http://www.iiitm.ac.in,indian institute management kozhikode,india,kohzikode,kerala,gmail.com,0,0,FALSE,atal birahi vajpayee indian institute information technology management,indian institute management kozhikode,india,india,gwalior,kohzikode,madhya pradesh,kerala,http://www.iiitm.ac.in,gmail.com
701,1246,47350,atal birahi vajpayee indian institute information technology management,india,gwalior,madhya pradesh,http://www.iiitm.ac.in,indian institute management bangalore,india,bangalore,karnataka,gmail.com,0,0,FALSE,atal birahi vajpayee indian institute information technology management,indian institute management bangalore,india,india,gwalior,bangalore,madhya pradesh,karnataka,http://www.iiitm.ac.in,gmail.com
702,1246,22137,atal birahi vajpayee indian institute information technology management,india,gwalior,madhya pradesh,http://www.iiitm.ac.in,indian institute management bangalore,india,bangalore,karnataka,iimb.ernet.in,0,0,FALSE,atal birahi vajpayee indian institute information technology management,indian institute management bangalore,india,india,gwalior,bangalore,madhya pradesh,karnataka,http://www.iiitm.ac.in,iimb.ernet.in
712,1246,39241,atal birahi vajpayee indian institute information technology management,india,gwalior,madhya pradesh,http://www.iiitm.ac.in,indian institute management ahmedabad,india,ahmedabad,gujarat,iimahd.ernet.in,0,0,FALSE,atal birahi vajpayee indian institute information technology management,indian institute management ahmedabad,india,india,gwalior,ahmedabad,madhya pradesh,gujarat,http://www.iiitm.ac.in,iimahd.ernet.in
717,12516,34211,national taiwan university physical education sport,taiwan,taichung,,http://www.ntupes.edu.tw/,national taiwan university,taiwan,taipei,,ntu.edu.tw,0,0,FALSE,national taiwan university physical education sport,national taiwan university,taiwan,taiwan,taichung,taipei,0,0,http://www.ntupes.edu.tw/,ntu.edu.tw
729,1273,9743,auburn university,united states,auburn,alabama,http://www.auburn.edu,auburn university,united states,auburn,alabama,auburn.edu,1,10,TRUE,,,,,,,,,,
809,12632,3157,new mexico state university,united states,las cruces,new mexico,http://www.nmsu.edu,new mexico state university,united states,las cruces,new mexico,nmsu.edu,1,8,TRUE,,,,,,,,,,
842,12636,25370,new york chiropractic college,united states,seneca falls,new york,http://www.nycc.edu,new york university,united states,new york city,new york,stern.nyu.edu,0,0,FALSE,new york chiropractic college,new york university,united states,united states,seneca falls,new york city,new york,new york,http://www.nycc.edu,stern.nyu.edu
857,12636,5342,new york chiropractic college,united states,seneca falls,new york,http://www.nycc.edu,new paltz state university new york,united states,saugerties,new york,newpaltz.edu,0,0,FALSE,new york chiropractic college,new paltz state university new york,united states,united states,seneca falls,saugerties,new york,new york,http://www.nycc.edu,newpaltz.edu
861,12636,38662,new york chiropractic college,united states,seneca falls,new york,http://www.nycc.edu,university buffalo state university new york,united states,amherst,new york,gmail.com,0,0,FALSE,new york chiropractic college,university buffalo state university new york,united states,united states,seneca falls,amherst,new york,new york,http://www.nycc.edu,gmail.com
