a_id,a_name,a_country,a_street,a_city,a_prov,a_pcode,a_tel,a_web
2,Pampanga State Agricultural U.,Philippines,,Magalang,Pampanga,2011,+63(45) 866-0800,http://www.pac.edu.ph
4,Les Roches International School Hotel Management,Switzerland,,Bluche-Crans-Montana,Bluche-Crans-Montana,3975,+41(27) 485-9600,http://www.lesroches.edu
6,Dharma Gate Budapest Buddhist U.,Hungary,Borzsony u. 11,Budapest,,1098,+36(1) 280-6712  +36(70) 339-9905,http://www.tkbf.eu
7,A. D. Patel Institute Technology,India,New Vallabh VidyanagarPost Box No - 52Dist. Anand,Vitthal Udyognagar,Gujarat,388 121,+91(2692) 233-680,http://www.adit.ac.in
8,A.T. Still U.,United States of America ,800 W. Jefferson St,Kirksville, Missouri,63501,+1(660) 626-2121,http://www.atsu.edu
9,Aalborg U.,Denmark,Postboks 159Fredrik Bajers vej 5,Aalborg,,9100,+45 99-40-95-00,http://www.aau.dk
10,Aalto U.,Finland,Lampomiehenkuja 2- Otaniemi,Espoo,,02015,+358(9) 47001,http://www.aalto.fi/fi/
15,Aarhus U.,Denmark,Nordre Ringgade 1,Aarhus,C,8000,+45 87-15 00-00,http://www.au.dk/en
17,Abada College,Philippines,Marfrancisco,Pinamalayan,Oriental Mindoro,5208,+63(43) 443-1356 +63(43) 284-41-50,http://abadacollege.edu.ph
18,Abant Izzet Baysal U.,Turkey,,Bolu,,14280,+90(374) 254-10-00,http://www.ibu.edu.tr
19,Abasyn U.,Pakistan,Ring Road (Charsadda Link),Peshawar,Khyber Pakhtunkhwa,25000,+92(91) 225-0820 +92(91) 258-2835,http://www.abasyn.edu.pk/
20,Abdul Wali Khan U.,Pakistan,,Mardan,Khyber Pakhtunkhwa,,+92(93) 7929-094,http://www.awkum.edu.pk/
22,ABE International Business College,Philippines,2578 Legarda AvenueSampaloc,Manila,Metro Manila,1010,+63(2) 736-2893  +63(2) 736-2894,http://www.abe.edu.ph/
23,Aberystwyth U.,United Kingdom,Penglais,Aberystwyth,,SY23 3FL,+44(1970) 623-111,http://www.aber.ac.uk
24,Abeu U. Centre,Brazil,Rua Itaiara 301Bloco ACentro,Belford Roxo,Rio de Janeiro,26113-400,+55(21) 2104-0450,http://www.uniabeu.edu.br
25,Abia State U.,Nigeria,P.M.B. 2000,Uturu,Abia State,,+234(803) 6811-454,http://www.absuu.net/
26,Abilene Christian U.,United States of America ,"ACU Box 29100,",Abilene, Texas,79699,+1(915) 674-2000,http://www.acu.edu
27,Abo Akademi U.,Finland,Tuomiokirkontori 3,Turku,,20500,+358(2) 215-31,http://www.abo.fi
28,Abra State Institute Sciences Technology,Philippines,Lagangilang,Lagangilang,Abra,,+63(74) 752-81-71,http://www.asist.edu.ph
29,Abra Valley Colleges,Philippines,Taft Street,Bangued,Abra,,+63(74) 752-7747,
30,Abraham Baldwin Agricultural College,United States of America ,2802 Moore Highway,Tifton, Georgia,31794,+1(229) 391-5000,http://www.abac.peachnet.edu
31,Abu Dhabi U.,United Arab Emirates,P.O. Box 59911,Abu Dhabi,,,+971(2) 501-5555,http://www.adu.ac.ae/
32,Abubakar Computer Learning Center Foundation,Philippines,Brgy. Simandagit,Bongao,Tawi-Tawi,7500,,
33,Abubakar Tafawa Balewa U.,Nigeria,Tafawa Balewa WayPMB 0248,Bauchi,Bauchi State,,+234(77) 542-464   +234(77) 543-500,http://www.atbu.edu.ng
34,Kazakh Abylai Khan U. International Relations World Languages,Kazakhstan,ul. Muratbayev 200,Almaty,,050022,+7(727) 292-23-63,http://www.ablaikhan.kz
35,Academy Police Sciences,Mozambique,Estrada Nacional 1,Michafutene,Maputo,,+258(21) 470319,http://www.acipol.ac.mz
36,Gheorghe Dima Music Academy Cluj Napoca,Romania,"str. I.C. Bratianu, nr. 25",Cluj-Napoca,,400079,+40(264) 59-12-41 +40(264) 59-12-42,http://www.amgd.ro
37,Academy Music atre Fine Arts,Moldova,Str. Mateevici 111,Chisinau,,2014,+373(22) 24-02-13  +373(22) 23-82-10,http://www.amtap.md
38,Alexandru Ioan Cuza Police Academy Bucharest,Romania,"aleea Privighetorilor, nr. 1A, Sectorul 1",Bucuresti,,014031,+40(21) 317-55-23,http://www.academiadepolitie.ro
39,Academy Stefan Cel Mare,Moldova,"Strada Gheorghe Asachi, 21",Chisinau,,2009,+373(22) 75-59-03  +373(22) 73-89-94,http://www.academy.police.md
40,San Lorenzo Dema Ala Academy,Philippines,"Tialo, Sto. Cristo",San Jose del Monte,Bulacan,3023,+63(917) 5591038; +63(917) 6296942,
41,Academy Economic Studies Moldova,Moldova,"Strada Banulescu-Bodoni, 61",Chisinau,,2005,+373(22) 22-41-28,http://www.ase.md
42,Bucharest Academy Economic Studies,Romania,"piata Romana, nr. 6, Sectorul 1",Bucuresti,,010374,+40(21) 319-19-00,http://www.ase.ro
43,Transports Informatics Communications Academy,Moldova,"str.Muncesti, 121""A""",Chisinau,,,+373(22) 38-45-30  +373(22) 38-45-40,http://www.aticmd.md
44,Francisco Martinez Cabrera State Academy Arts,Mexico,Ninos Heroes 9,Mazatlan,Sinaloa,82000,+52(69) 82-68-53,
46,Mexican Academy Fiscal Research,Mexico,"Av. Centenario No. 478, PA despachos B y CMixcoacDelegacion Alvaro Obregon C.P. 1600",Mexico,D.F.,,+52(55) 1285-6272,
48,Mircea cel Batran Naval Academy Constanta,Romania,"str. Fulgerului, nr. 1",Constanta,,900218,+40(241) 62-62-00,http://www.anmb.ro
49,Michael Brave National Academy Information,Romania,"str. Soseaua Odai, nr. 20, Sectorul 1",Bucuresti,,,+40(21) 410-65-50,http://www.animv.ro
50,College Political Social Sciences,Czech Republic,Ovcarecka 312,Kolin V,,280 02,+420(32) 173-4711,http://www.vspsv.cz
51,Academy Graduate Studies,Libya,PO Box 79031Janzour,Tripoli,,,+218(21) 487-2796,http://www.alacademia.edu.ly/
53,Academy Engineering Science,Sudan,PO Box 12045,Khartoum,,,+249(83) 555-555  +249(83) 555-151,
54,Sudan Academy Communication Science,Sudan,PO Box 3515,Khartoum,,,,http://www.sacs.edu.sd/
55,Sudan Academy Banking Financial Sciences,Sudan,PO Box 1880Jama'A Street,Khartoum,,11111,+249(183) 770-564  +249(183) 771-716,http://www.sabfs.edu.sd
60,Academy Fine Arts,Congo (Democratic Republic),Avenue du 24 novembreGombe,Kinshasa,,8249,+243 8989 20686,
61,Fine Arts Academy Tournai,Belgium - French Community,"Rue de l'Hopital Notre-Dame, 14",Tournai,,7500,+32(69) 84-12-63,http://www.actournai.be
62,International Academy Advanced Advanced Security Studies,Senegal,"165, Immeuble TackoVDN Sacre Coeur 3",Dakar,,,+221(33) 860-51-83,http://www.aihes.senevision.net/
63,Mohammed VI International Academy Civil Aviation,Morocco,"Technopole de l'Aeroport Mohammed V, Nouacer",Casablanca,539-619,,+212(522) 539-619  +212(522) 538-480,http://www.aviation.ma
64,Regional Academy Marine Science Technology,Cote d'Ivoire,BP V 158,Abidjan,,,+225(23) 46-08-08  +225(23) 46-08-09,"http://www.arstm.org "
65,Academie royale des Beaux Arts de la ville de Bruxelles Ecole superieure des Arts,Belgium - French Community,144 Rue du Midi,Bruxelles,,1000,+ 32(2) 506-10-10,http://www.arba-esa.be
68,Academy Five Element Acupuncture,United States of America ,305 SE 2nd Ave,Gainesville, Florida,32601,+1(352) 335-2332,http://www.acupuncturist.com
71,Academy Chinese Culture Health Sciences,United States of America ,1600 Broadway #200,Oakland, California,94612-1540,+1(510) 763-7787,http://www.acchs.edu
72,Academy Management,Mongolia,Knan-Uul Duureg,Ulaanbaatar,,210136,+976(11) 341754,http://www.naog.gov.mn/
73,Academy Oriental Medicine Austin,United States of America ,"2700 West Anderson Lane, Suite 204,",Austin, Texas,78757-1153,+1(512) 454-1188,http://www.aoma.edu
75,Academy Ministry Internal Affairs,Tajikistan,ul. Vose 123,Dusanbe,,734024,+992(37) 226-70-41  +992(37) 226-70-48,
76,Acadia U.,Canada ,15 University Avenue,Wolfville, Nova Scotia ,B4P 2R6,+1(902) 542-2201  +1(902) 585-2201,http://www.acadiau.ca
77,Brera Academy Fine Art,Italy,"Via Brera, 28",Milano,Lombardia,2012,+39(02) 8695-5220,http://www.accademiadibrera.milano.it/
78,Accadis U. Applied Sciences Bad Homburg,Germany,Du Pont-Strasse 4,Bad Homburg,Hesse,61352,+49(6172) 9842  +49(6172) 984-235,http://www.accadis.com
79,Access Computer Technical College,Philippines,2nd Flr & 3rd Flr Access Main BldgCM Recto Avenue corner Quezon BlvdQuiapo,Manila,Metro Manila,1004,+63(2) 733-9474,http://access.edu.ph
80,Accra Institute Technology,Ghana,PO Box AN-19782,Accra-North,,,+233(302) 913227  +233(28) 8181817,http://www.ait.edu.gh
88,Aces Tagum College,Philippines,"Purok Pag-ibig, Makilam",Tagum City,Davao del Norte,8100,+63(84) 217-2623,
89,Acharya N.G. Ranga Agricultural U.,India,Rajendranagar,Hyderabad,Andhra Pradesh,500030,+91(40) 2401-5011,http://www.angrau.ac.in
90,Acharya Nagarjuna U.,India,,Nagarjuna Nagar,Andhra Pradesh,522510,+91(863) 229-3189,http://www.nagarjunauniversity.ac.in
91,Achievers U.,Nigeria,"PMB 1030Km 1, Idasen/Ute Road",Owo,Ondo State,,+234(803) 374-6527  +234(803) 370-8660  +234(803) 219-7040,http://achievers.edu.ng
93,Acibadem U.,Turkey,Gulsuyu Mah. Fevzi Cakmak Cad.Divan Sok. Ndeg1,Maltepe/Istanbul,,,+90(216) 458-08-08,http://www.acibadem.edu.tr/
94,ACLC College Butuan City,Philippines,999 J.C. Aquino Avenue,Butuan City,Agusan del Norte,8600,+63(85) 341-5719,http://www.aclc.edu.ph/aclc
95,ACMCL College,Philippines,Poblacion 1,Victoria,Oriental Mindoro,5205,+63(43) 285-5381,http://acmclcollege.com
96,ACSI Business Computer School,Philippines,J.M. Basa St.,Iloilo City,Iloilo,5000,+63(33) 509-9160,
97,ACTS Computer College,Philippines,P. Guevarra Ave. cor. A. Bonifacio St.,Sta. Cruz,Laguna,4009,+63(49) 808-1484,
98,Acupuncture Integrative Medicine College Berkeley,United States of America ,2550 Shattuck Ave,Berkeley, California,94704,+1(510) 666-8248,http://aimc.edu
99,Acupuncture Massage College,United States of America ,10506 North Kendall Dr.,Miami, Florida,33176,+1(305) 595-9500,http://www.amcollege.edu
101,Adama Science Technology U.,Ethiopia,PO Box 1888,Nazareth,Oromia,,+251(22) 111-0400,http://www.astu.edu.et/
102,Adamawa State Polytechnic,Nigeria,P.M.B. 2146,Yola,Adamawa State,,,http://www.adamawastatepoly.edu.ng/
103,Adamawa State U. Mubi,Nigeria,PMB 25,Mubi,Adamawa State,650001,+234(806) 561-1123,http://www.adsu.edu.ng
104,Adams State U.,United States of America ,208 Edgemont Boulevard,Alamosa, Colorado,81101,+1(719) 587-7011,http://www.adams.edu
105,Adamson U.,Philippines,900 San Marcelino StreetErmita,City of Manila,"First District, Metro Manila",1000,+63(2) 524-2011 +63(2) 521-0690,http://www.adamson.edu.ph
106,Addis Ababa U.,Ethiopia,PO Box 1176,Addis Ababa,,,+251(11) 123-9800,http://www.aau.edu.et
107,Addis Ababa U. College Commerce,Ethiopia,PO Box 3131,Addis Ababa,Addis Ababa,,+251(11) 551-5786,http://www.aaucc.edu.et
108,Adekunle Ajasin U.,Nigeria,PMB 001,Akungba-Akoko,Ondo State,,+234(705) 789-0597  +234(816) 165-1123  +234(708) 910-5452,http://www.aaua.edu.ng
110,Adelphi U.,United States of America ,1 South AveP.O. Box 701,Garden City, New York,11530-0701,+1(516) 877-3000,http://www.adelphi.edu
111,Adiban Higher Education Institute,Iran (Islamic Republic of),,Garmsar,Semnan,35815-179,+98(232) 4239-083,http://www.adiban.ac.ir/
112,Adikavi Nannaya U.,India,"25-07-9/1, Jayakrishnapuram",Rajahmundry,Andhra Pradesh,533 105,"+91-883-2472617,",http://www.nannayauniversity.info
113,Adiong Memorial College Foundation,Philippines,"Jose Carumba Street, Western",Wao,Lanao del Sur,9716,+63(920) 8539582,
114,Adiong Memorial Polytechnic State College,Philippines,DitsaanRamain,Marawi City,Lanao del Sur,9713,,
115,Adler Graduate School,United States of America ,1550 East 78th Street,Richfield, Minnesota,55423,+1(612) 861-7554,http://www.alfredadler.edu
116,Adler School Professional Psychology,United States of America ,"65 E. Wacker Place, Suite 2100",Chicago, Illinois,60601-7203,+1(312) 201-5900,http://www.adler.edu
119,Adnan Menderes U.,Turkey,"Merkez Kampus, AytepeSokak",Aydin,,09100,+90(256) 214-66-89,http://www.adu.edu.tr
